"","entityName","loc","sic","sicDescription","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4","2008Q1"
"1","AIR PRODUCTS AND CHEMICALS, INC.","US-PA",2810,"Industrial Inorganic Chemicals",70100000,496850341.599793,68600000,205600000,113200000,243900000,251800000,2.52e+08,253200000,272100000,268600000,304300000,326500000,324800000,248100000,2.96e+08,484500000,138700000,278300000,290400000,288400000,137100000,866734790.384874,834427997.362375,422025968.677091,447929374.284672,324600000,2.9e+08,318800000,344500000,363600000,-473300000,346800000,3.94e+08,299800000,2.13e+09,101900000,468700000,154600000,416400000,473900000,452900000,347500000,421300000,4.88e+08,503200000,475600000,477800000,446500000,486800000,4.82e+08,473100000,533600000,1525068766.40828,560400000,NA
"2","APPLIED MATERIALS INC /DE","US-CA",3674,"Semiconductors & Related Devices",164768000,70699501.5583617,-132934000,-255390000,-54865000,137862000,8.3e+07,2.64e+08,1.23e+08,4.68e+08,5.06e+08,4.89e+08,4.76e+08,4.56e+08,1.17e+08,2.89e+08,2.18e+08,-5.15e+08,3.4e+07,-1.29e+08,1.68e+08,1.83e+08,2.53e+08,2.62e+08,3.01e+08,2.56e+08,3.48e+08,3.64e+08,3.29e+08,3.36e+08,2.86e+08,3.2e+08,5.05e+08,6.1e+08,7.03e+08,8.24e+08,9.25e+08,9.82e+08,1.65e+08,1.1e+09,1.016e+09,7.57e+08,7.71e+08,6.66e+08,5.71e+08,6.98e+08,8.92e+08,7.55e+08,8.41e+08,1.131e+09,1.13e+09,1.33e+09,1.716e+09,118066066.620738,1.792e+09,NA
"3","Baxter International Inc.","US-IL",3841,"Surgical & Medical Instruments & Apparatus",5.44e+08,4.72e+08,332938773.866546,5.16e+08,5.87e+08,5.3e+08,5.72e+08,-6.3e+07,5.35e+08,5.25e+08,4.23e+08,5.7e+08,6.15e+08,5.76e+08,4.63e+08,5.88e+08,6.61e+08,5.83e+08,4.94e+08,5.52e+08,5.9e+08,5.44e+08,3.26e+08,5.56e+08,5.2e+08,4.68e+08,9.53e+08,4.3e+08,3.32e+08,1e+06,2.05e+08,3.38e+09,1.212e+09,1.3e+08,2.43e+08,2.72e+08,2.65e+08,2.51e+08,-7.1e+07,3.82e+08,3.41e+08,5.18e+08,3.05e+08,3.42e+08,3.13e+08,3.69e+08,-2.3e+07,3.32e+08,2.46e+08,3.56e+08,1.68e+08,1311009592.8753,1381236717.35328,1525068766.42168,736074640.804247,NA
"4","FRANKLIN RESOURCES, INC.","US-CA",6282,"Investment Advice",403312000,496850341.60312,120900000,110806000,297716000,31713622.1916578,355603000,356685000,360495000,551187854.315153,501157000,503100000,503347000,641947904.098663,480800000,503200000,455300000,810768654.61632,516100000,572800000,552300000,377780955.300343,603800000,5.61e+08,578900000,447929374.287931,566400000,606500000,504200000,289446469.622438,447800000,360400000,446400000,899881247.723652,440200000,420700000,410600000,843988711.16326,-583300000,443200000,4.02e+08,586939940.745544,275900000,367500000,245900000,511700004.790033,350500000,79100000,290400000,460205296.176246,345300000,381800000,438400000,1525068766.42168,453200000,NA
"5","3M COMPANY","US-MN",3841,"Surgical & Medical Instruments & Apparatus",9.45e+08,9.91e+08,332938773.866546,5.18e+08,7.83e+08,9.57e+08,9.35e+08,9.3e+08,1.121e+09,1.106e+09,9.28e+08,1.081e+09,1.16e+09,1.088e+09,9.54e+08,1.125e+09,1.167e+09,1.161e+09,9.91e+08,1.129e+09,1.197e+09,1.23e+09,1.103e+09,1.207e+09,1.267e+09,1.303e+09,1.179e+09,1.199e+09,1.3e+09,1.296e+09,1.038e+09,1.275e+09,1.291e+09,1.329e+09,1.155e+09,1.323e+09,1.583e+09,1.429e+09,5.23e+08,6.02e+08,1.857e+09,1.543e+09,1.347e+09,8.91e+08,1.127e+09,1.583e+09,9.69e+08,1.308e+09,1.306e+09,1.43e+09,1.389e+09,1.624e+09,1.524e+09,1.434e+09,736074640.804247,NA
"6","NUCOR CORPORATION","US-NC",3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",580754000,734590000,-717999999.744517,-189645000,-133337000,-29538000,58907000,30964000,90992000,23495000,-11359000,159841000,299773000,181518000,137056000,145104000,112299000,110308000,136908000,8837304.41649516,9012674.71873978,7433951.29977532,170494000,11050098.1805979,10772068.4702961,15135469.8906742,7073438.73924048,6762735.37926999,5305928.78434262,8010450.78557957,3792569.48786031,4412221.02644124,4841197.42244707,7903894.88909926,5622409.16009498,8650177.21133767,5056644.61167538,7390931.49778969,4176332.9277218,5288787.61637184,5053079.28209972,14113953.9701753,4305791.23423021,4914611.10306849,7144598.79401833,5657379.26122951,5688025.49531556,20331000,108881000,193415000,398843000,942432000,1506868000,2127743000,2250418000,NA
"7","STRYKER CORP","US-MI",3841,"Surgical & Medical Instruments & Apparatus",305800000,273800000,332938773.866546,281100000,291300000,2.29e+08,3.06e+08,3.22e+08,3.19e+08,3.37e+08,2.95e+08,3.08e+08,3.09e+08,3.27e+08,4.01e+08,3.5e+08,3.25e+08,3.53e+08,2.7e+08,3.04e+08,2.13e+08,1.03e+08,3.86e+08,7e+07,1.28e+08,5.7e+07,2.6e+08,2.24e+08,3.92e+08,3.01e+08,5.22e+08,4.02e+08,3.8e+08,3.55e+08,5.1e+08,4.44e+08,3.91e+08,4.34e+08,-2.49e+08,4.43e+08,4.52e+08,5.9e+08,2.068e+09,4.12e+08,4.8e+08,4.66e+08,7.25e+08,4.93e+08,-8.3e+07,6.21e+08,5.68e+08,3.02e+08,5.92e+08,4.38e+08,6.62e+08,NA
"8","Apple Inc.","US-CA",3571,"Electronic Computers",1.072e+09,496850341.60312,2.255e+09,1.62e+09,1.828e+09,2.532e+09,3.378e+09,3.074e+09,3.253e+09,4.308e+09,6.004e+09,5.987e+09,7.308e+09,6.623e+09,1.3064e+10,1.1622e+10,8.824e+09,8222999999.99999,1.3078e+10,9547000000.00001,6.9e+09,7.512e+09,1.3072e+10,1.0223e+10,7747999999.99999,8.467e+09,1.8024e+10,1.3569e+10,1.0677e+10,1.1124e+10,1.8361e+10,1.0516e+10,7.796e+09,9.014e+09,1.7891e+10,1.1029e+10,8717000000.00001,1.0714e+10,2.0065e+10,1.3822e+10,1.1519e+10,1.4125e+10,1.9965e+10,1.1561e+10,1.0044e+10,1.3686e+10,2.2236e+10,1.1249e+10,1.1253e+10,1.2673e+10,2.8755e+10,2.363e+10,2.1744e+10,1525068766.42168,3.463e+10,NA
"9","ELECTRONIC ARTS INC.","US-CA",7372,"Services-Prepackaged Software",-9.5e+07,-3.1e+08,-6.41e+08,16372801.7775358,-2.34e+08,-3.91e+08,-8.2e+07,3e+07,9.6e+07,-2.01e+08,-3.22e+08,1.51e+08,2.21e+08,-3.4e+08,-2.05e+08,4e+08,2.01e+08,-3.81e+08,-4.5e+07,3.23e+08,2.22e+08,-2.73e+08,-3.08e+08,3.67e+08,3.35e+08,3e+06,1.42e+08,3.95e+08,4.42e+08,-1.4e+08,-4.5e+07,8.99e+08,4.4e+08,-3.8e+07,-1e+06,5.66e+08,6.44e+08,-2.2e+07,-1.86e+08,6.07e+08,2.93e+08,2.55e+08,2.62e+08,2.09e+08,1.421e+09,8.54e+08,3.46e+08,4.18e+08,3.65e+08,1.85e+08,2.11e+08,886999998.537583,2.04e+08,2.94e+08,6.6e+07,NA
"10","MURPHY OIL CORPORATION","US-TX",1311,"Crude Petroleum & Natural Gas",619204000,584422000,17810315.8950444,171100000,158800000,188900000,318800000,148900000,272300000,202800000,174100000,268900000,311600000,406100000,-113900000,290100000,295400000,226700000,158700000,360600000,402700000,284800000,75400000,155300000,129400000,245700000,375200000,-14500000,-73800000,-1595400000,-587100000,-198800000,2900000,-16200000,-63900000,58500000,-17600000,-65900000,-286800000,168300000,45500000,93900000,103400000,40200000,92300000,1.089e+09,-71700000,-416100000,-317200000,-243500000,-171900000,-287400000,-63100000,108400000,168400000,NA
