"cik","entityName","sic","n","mean_y","sd_y","se_y","y_lo","y_hi","sic_num","x","sic_division"
2969,"AIR PRODUCTS AND CHEMICALS, INC.",2810,55,396586131.613038,345398099.303244,46573470.2090624,305302130.003276,487870133.2228,2810,2810.34992229721,"Manufacturing"
3545,"ALICO, INC.",100,55,13182138.365529,160591726.902394,21654184.0380657,-29260062.3490798,55624339.0801378,100,99.9036147188026,"Agriculture/Forestry/Fishing"
4127,"Skyworks Solutions, Inc.",3674,55,156544619.042883,116203421.545251,15668866.1647132,125833641.360046,187255596.725721,3674,3674.55924423969,"Manufacturing"
6281,"Analog Devices, Inc.",3674,55,177489290.742625,123376580.759447,16636094.7558409,144882545.021177,210096036.464073,3674,3673.35818156463,"Manufacturing"
6845,"APOGEE ENTERPRISES, INC.",3231,55,19457357.6537387,160341067.258488,21620385.0985764,-22918597.1394711,61833312.4469485,3231,3231.58358921703,"Manufacturing"
6951,"APPLIED MATERIALS INC /DE",3674,55,476603755.785075,455484406.522387,61417504.8463089,356225446.286309,596982065.28384,3674,3673.50666139743,"Manufacturing"
8858,"AVNET, INC.",5065,55,59666375.0844285,192665865.684878,25979060.0292212,8747417.42715489,110585332.741702,5065,5065.51920434743,"Wholesale Trade"
8947,"AZZ Inc.",3470,55,22159281.0423336,153415551.044501,20686548.682785,-18386354.3759251,62704916.4605922,3470,3469.18396719163,"Manufacturing"
9092,"BADGER METER, INC.",3824,55,11764266.2719349,18554180.3258713,2501845.16476413,6860649.74899725,16667882.7948726,3824,3824.37990140784,"Manufacturing"
10456,"Baxter International Inc.",3841,55,532460518.024019,503531265.153037,67896141.9424239,399384079.816868,665536956.23117,3841,3841.19776491766,"Manufacturing"
12208,"BIO-RAD LABORATORIES, INC.",3826,55,213475141.090645,683565348.960322,92171932.8507375,32818152.7031998,394132129.47809,3826,3826.21892366908,"Manufacturing"
14693,"Brown-Forman Corporation",2080,55,145079854.924357,78210310.9462367,10545876.176632,124409937.618158,165749772.230556,2080,2079.80517721897,"Manufacturing"
14846,"BRT APARTMENTS CORP.",6798,55,5850394.60815362,21425802.6909358,2889054.6454787,187847.503015378,11512941.7132919,6798,6797.33350058465,"Finance/Insurance/Real Estate"
15357,"CHASE GENERAL CORP",2060,55,4056136.43899815,18617857.1114836,2510431.34078451,-864308.988939493,8976581.86693579,2060,2060.87113614919,"Manufacturing"
16058,"CACI International Inc",7373,55,52180806.6785522,32044957.6371963,4320941.20632763,43711761.91415,60649851.4429543,7373,7373.26694466836,"Services"
23217,"CONAGRA BRANDS, INC.",2000,55,202761280.82172,370036471.987179,49895707.7040278,104965693.721826,300556867.921615,2000,1999.14160142716,"Manufacturing"
24090,"CITIZENS, INC.",6311,55,4271339.36025225,22239119.497587,2998722.26131536,-1606156.27192585,10148834.9924303,6311,6312.92687267464,"Finance/Insurance/Real Estate"
25895,"Crown Crafts, Inc.",2211,55,6483677.07636253,19406259.4528183,2616739.49080321,1354867.67438823,11612486.4783368,2211,2211.3223754445,"Manufacturing"
29644,"DONALDSON COMPANY, INC.",3564,55,57603467.2713704,28009202.705666,3776760.12237301,50201017.4315193,65005917.1112215,3564,3564.41266004072,"Manufacturing"
31667,"EDUCATIONAL DEVELOPMENT CORPORATION",5190,55,4884461.00892083,18467273.3728344,2490126.63360721,3812.80705068819,9765109.21079096,5190,5190.36920126902,"Wholesale Trade"
32621,"EMERSON RADIO CORP",3651,55,4682285.64460288,20532091.3743987,2768546.63614047,-744065.76223244,10108637.0514382,3651,3651.7189616507,"Manufacturing"
33002,"ENNIS, INC.",2761,55,9319313.81722502,21804198.6331965,2940077.54392446,3556761.83113308,15081865.803317,2761,2761.23624447279,"Manufacturing"
34563,"FARMER BROTHERS CO",2090,55,1873279.25409381,25979983.6835698,3503140.28525201,-4992875.70500012,8739434.21318775,2090,2090.45797522566,"Manufacturing"
36840,"FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY, INC.",6798,55,6704846.3427996,21349758.5400705,2878800.85426779,1062396.66843474,12347296.0171645,6798,6797.46852598611,"Finance/Insurance/Real Estate"
37472,"FLEXSTEEL INDUSTRIES, INC.",2510,55,11629770.190275,160673196.893793,21665169.4494649,-30833961.9306761,54093502.3112262,2510,2510.26963698828,"Manufacturing"
37785,"FMC CORPORATION",2800,55,99584813.2993183,133778787.889484,18038728.0791179,64228906.2642472,134940720.334389,2800,2799.08389713728,"Manufacturing"
38264,"Forward Industries, Inc.",3089,55,3823640.1503155,18681532.5760886,2519017.3386803,-1113633.83349788,8760914.13412888,3089,3087.96737148452,"Manufacturing"
38777,"FRANKLIN RESOURCES, INC.",6282,55,445560548.055564,260994579.858859,35192501.9688988,376583244.196523,514537851.914606,6282,6279.58879606671,"Finance/Insurance/Real Estate"
39020,"FREQUENCY ELECTRONICS, INC.",3825,55,4210096.0521911,20647496.1433536,2784107.81201187,-1246755.25935216,9666947.36373436,3825,3825.49475233886,"Manufacturing"
40570,"GEE GROUP INC.",7361,55,4015675.29648296,20843800.1546971,2810577.43950162,-1493056.48494021,9524407.07790614,7361,7361.52041832007,"Services"
46619,"HEICO CORPORATION",3724,55,44765376.1466127,30259628.5706301,4080207.48410151,36768169.4777737,52762582.8154517,3724,3726.09695033716,"Manufacturing"
47217,"HP INC.",3570,55,960142252.27546,598759697.771909,80736741.1772707,801898239.568009,1118386264.98291,3570,3570.73762591898,"Manufacturing"
48465,"HORMEL FOODS CORPORATION",2011,55,164061903.370993,70786089.8288725,9544794.40538731,145354106.336433,182769700.405552,2011,2012.09031239194,"Manufacturing"
50292,"IEH Corporation",3678,55,4357773.19044695,18559156.151589,2502516.10496702,-547158.375288413,9262704.75618232,3678,3678.84411764136,"Manufacturing"
54187,"MAYS J W INC",6512,55,4189512.70032306,18592487.1717122,2507010.45880359,-724227.798931968,9103253.19957809,6512,6511.94243323613,"Finance/Insurance/Real Estate"
