"cik","entityName","sic","n","mean_y","sd_y","se_y","y_lo","y_hi","sic_num","x","sic_division"
2969,"AIR PRODUCTS AND CHEMICALS, INC.",2810,67,496501811.004696,439140849.606507,53649593.5905827,391348607.567154,601655014.442239,2810,2810.34992229721,"Manufacturing"
3545,"ALICO, INC.",100,67,36057037.2755464,114042416.733154,13932498.6853396,8749339.85228082,63364734.698812,100,99.9036147188026,"Agriculture/Forestry/Fishing"
4127,"Skyworks Solutions, Inc.",3674,67,169012333.149666,109502194.425111,13377822.2487119,142791801.54219,195232864.757141,3674,3674.55924423969,"Manufacturing"
6281,"Analog Devices, Inc.",3674,67,250266327.333924,213901976.190459,26132285.577904,199047047.601232,301485607.066615,3674,3673.35818156463,"Manufacturing"
6845,"APOGEE ENTERPRISES, INC.",3231,67,-1431893.64980782,90642478.728022,11073741.2612807,-23136426.5219179,20272639.2223023,3231,3231.58358921703,"Manufacturing"
6951,"APPLIED MATERIALS INC /DE",3674,67,619008313.227838,581301424.160397,71017271.9932046,479814460.121157,758202166.334519,3674,3673.50666139743,"Manufacturing"
8858,"AVNET, INC.",5065,67,82226930.6385757,181627987.658013,22189390.3317333,38735725.5883784,125718135.688773,5065,5065.51920434743,"Wholesale Trade"
8947,"AZZ Inc.",3470,67,-2016651.72782295,90855144.8005555,11099722.5571955,-23772107.9399262,19738804.4842803,3470,3469.18396719163,"Manufacturing"
9092,"BADGER METER, INC.",3824,67,13815382.15157,17701315.2715306,2162559.85109868,9576764.84341659,18053999.4597234,3824,3824.37990140784,"Manufacturing"
10456,"Baxter International Inc.",3841,67,371869519.234195,662915258.94291,80987988.8403715,213133061.107067,530605977.361324,3841,3841.19776491766,"Manufacturing"
12208,"BIO-RAD LABORATORIES, INC.",3826,67,68051459.3278555,841396563.716987,102792950.672609,-133422723.990458,269525642.646169,3826,3826.21892366908,"Manufacturing"
14693,"Brown-Forman Corporation",2080,67,163520943.495457,72509821.9068938,8858484.65273987,146158313.576087,180883573.414827,2080,2079.80517721897,"Manufacturing"
14846,"BRT APARTMENTS CORP.",6798,67,34991971.1171348,114264746.677632,13959660.6111203,7631036.31933893,62352905.9149306,6798,6797.33350058465,"Finance/Insurance/Real Estate"
15357,"CHASE GENERAL CORP",2060,67,2741585.42657929,16360222.5014003,1998719.2925416,-1175904.38680224,6659075.23996082,2060,2060.87113614919,"Manufacturing"
16058,"CACI International Inc",7373,67,38626360.4092942,102644065.67145,12539968.4695532,14048022.20897,63204698.6096184,7373,7373.26694466836,"Services"
23217,"CONAGRA BRANDS, INC.",2000,67,157015739.292094,244520415.163725,29872923.2543254,98464809.7136159,215566668.870571,2000,1999.14160142716,"Manufacturing"
24090,"CITIZENS, INC.",6311,67,33819733.0927006,114613948.428881,14002322.3950386,6375181.19842486,61264284.9869763,6311,6312.92687267464,"Finance/Insurance/Real Estate"
25895,"Crown Crafts, Inc.",2211,67,6070113.27969401,17668000.022776,2158489.74566973,1839473.37818133,10300753.1812067,2211,2211.3223754445,"Manufacturing"
29644,"DONALDSON COMPANY, INC.",3564,67,41035100.603463,101182879.362197,12361456.1500507,16806646.5493636,65263554.6575623,3564,3564.41266004072,"Manufacturing"
31667,"EDUCATIONAL DEVELOPMENT CORPORATION",5190,67,3388728.09966835,16294366.7807558,1990673.73574277,-512992.422387482,7290448.62172418,5190,5190.36920126902,"Wholesale Trade"
32621,"EMERSON RADIO CORP",3651,67,2969383.81257178,16386776.9792244,2001963.43834254,-954464.526579608,6893232.15172317,3651,3651.7189616507,"Manufacturing"
33002,"ENNIS, INC.",2761,67,9295711.44734758,19819676.9521852,2421358.92056993,4549847.96303052,14041574.9316646,2761,2761.23624447279,"Manufacturing"
