"","cik","entityName","sic","n","mean_y","sd_y","se_y","y_lo","y_hi","sic_num","x","sic_division"
"1","0000002969","AIR PRODUCTS AND CHEMICALS, INC.",2810,58,386812068.965517,298436969.793462,39186693.9370443,310006148.84891,463617989.082124,2810,2810.34992229721,"Manufacturing"
"2","0000003545","ALICO, INC.",100,56,3677357.14285714,10097805.4869337,1349376.01751399,1032580.14852971,6322134.13718457,100,99.9036147188026,"Agriculture/Forestry/Fishing"
"3","0000004127","Skyworks Solutions, Inc.",3674,59,174336288.135593,112171921.447277,14603540.2958476,145713349.155732,202959227.115454,3674,3674.55924423969,"Manufacturing"
"4","0000006281","Analog Devices, Inc.",3674,46,319449260.869565,222351212.000538,32783897.6507716,255192821.474053,383705700.265078,3674,3673.35818156463,"Manufacturing"
"5","0000006845","APOGEE ENTERPRISES, INC.",3231,53,14451603.7735849,10763333.4848164,1478457.55744219,11553826.9609982,17349380.5861716,3231,3231.58358921703,"Manufacturing"
"6","0000006951","APPLIED MATERIALS INC /DE",3674,62,655636145.16129,589248469.584215,74834630.4718632,508960269.436438,802312020.886142,3674,3673.50666139743,"Manufacturing"
"7","0000008858","AVNET, INC.",5065,50,74669860,206221872.385952,29164176.8786187,17508073.3179074,131831646.682093,5065,5065.51920434743,"Wholesale Trade"
"8","0000008947","AZZ Inc.",3470,54,14201135.1296296,14084477.3790502,1916654.60402473,10444492.1057412,17957778.1535181,3470,3469.18396719163,"Manufacturing"
"9","0000009092","BADGER METER, INC.",3824,58,11734034.4827586,7475183.22715182,981539.644530134,9810216.77947956,13657852.1860377,3824,3824.37990140784,"Manufacturing"
"10","0000010456","Baxter International Inc.",3841,59,401864406.779661,701140854.991967,91280764.3555679,222954108.642748,580774704.916574,3841,3841.19776491766,"Manufacturing"
"11","0000012208","BIO-RAD LABORATORIES, INC.",3826,62,82385064.5161291,869236678.355133,110393168.544326,-133985545.830749,298755674.863007,3826,3826.21892366908,"Manufacturing"
"12","0000014693","Brown-Forman Corporation",2080,48,194093750,51849961.1450643,7483897.25614363,179425311.377958,208762188.622042,2080,2079.80517721897,"Manufacturing"
"13","0000014846","BRT APARTMENTS CORP.",6798,46,2674717.39130435,9604036.91895131,1416037.99031403,-100717.069711155,5450151.85231985,6798,6797.33350058465,"Finance/Insurance/Real Estate"
"14","0000015357","CHASE GENERAL CORP",2060,44,22059.9772727273,115910.975968526,17474.2371077956,-12189.527458552,56309.4820040066,2060,2060.87113614919,"Manufacturing"
"15","0000016058","CACI International Inc",7373,59,60164915.2542373,32065739.9202112,4174603.76000662,51982691.8846243,68347138.6238503,7373,7373.26694466836,"Services"
"16","0000023217","CONAGRA BRANDS, INC.",2000,55,156032727.272727,268560589.104585,36212702.4474718,85055830.4756827,227009624.069772,2000,1999.14160142716,"Manufacturing"
"17","0000024090","CITIZENS, INC.",6311,58,958155.172413792,8698666.88072459,1142190.91874296,-1280539.0283224,3196849.37314998,6311,6312.92687267464,"Finance/Insurance/Real Estate"
"18","0000025895","Crown Crafts, Inc.",2211,36,1388222.22222222,842255.479093779,140375.913182297,1113085.43238492,1663359.01205952,2211,2211.3223754445,"Manufacturing"
"19","0000029644","DONALDSON COMPANY, INC.",3564,57,64218526.3157895,23478799.1107367,3109842.91272007,58123234.2068581,70313818.4247208,3564,3564.41266004072,"Manufacturing"
"20","0000031667","EDUCATIONAL DEVELOPMENT CORPORATION",5190,55,765418.181818182,1312046.9869481,176916.379629144,418662.077745059,1112174.28589131,5190,5190.36920126902,"Wholesale Trade"
