"","cik","entityName","loc","2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4","2023Q1","2023Q2","2023Q3","2023Q4","2024Q1","2024Q2","2024Q3","2024Q4","sic","sicDescription"
"1","0000002969","AIR PRODUCTS AND CHEMICALS, INC.","US-PA",NA,70100000,NA,68600000,205600000,113200000,243900000,251800000,2.52e+08,253200000,272100000,268600000,304300000,326500000,324800000,248100000,2.96e+08,484500000,138700000,278300000,290400000,288400000,137100000,NA,NA,NA,NA,324600000,2.9e+08,318800000,344500000,363600000,-473300000,346800000,3.94e+08,299800000,2.13e+09,101900000,468700000,154600000,416400000,473900000,452900000,347500000,421300000,4.88e+08,503200000,475600000,477800000,446500000,486800000,4.82e+08,473100000,533600000,NA,560400000,530500000,582100000,NA,572200000,439800000,595600000,NA,609300000,572400000,696600000,NA,617400000,2810,"Industrial Inorganic Chemicals"
"2","0000006951","APPLIED MATERIALS INC /DE","US-CA",NA,164768000,NA,-132934000,-255390000,-54865000,137862000,8.3e+07,2.64e+08,1.23e+08,4.68e+08,5.06e+08,4.89e+08,4.76e+08,4.56e+08,1.17e+08,2.89e+08,2.18e+08,-5.15e+08,3.4e+07,-1.29e+08,1.68e+08,1.83e+08,2.53e+08,2.62e+08,3.01e+08,2.56e+08,3.48e+08,3.64e+08,3.29e+08,3.36e+08,2.86e+08,3.2e+08,5.05e+08,6.1e+08,7.03e+08,8.24e+08,9.25e+08,9.82e+08,1.65e+08,1.1e+09,1.016e+09,7.57e+08,7.71e+08,6.66e+08,5.71e+08,6.98e+08,8.92e+08,7.55e+08,8.41e+08,1.131e+09,1.13e+09,1.33e+09,1.716e+09,NA,1.792e+09,1.536e+09,1.606e+09,NA,1.717e+09,1.575e+09,1.56e+09,NA,2.019e+09,1.722e+09,1.705e+09,NA,1.185e+09,3674,"Semiconductors & Related Devices"
"3","0000010456","Baxter International Inc.","US-IL",NA,5.44e+08,4.72e+08,NA,5.16e+08,5.87e+08,5.3e+08,5.72e+08,-6.3e+07,5.35e+08,5.25e+08,4.23e+08,5.7e+08,6.15e+08,5.76e+08,4.63e+08,5.88e+08,6.61e+08,5.83e+08,4.94e+08,5.52e+08,5.9e+08,5.44e+08,3.26e+08,5.56e+08,5.2e+08,4.68e+08,9.53e+08,4.3e+08,3.32e+08,1e+06,2.05e+08,3.38e+09,1.212e+09,1.3e+08,2.43e+08,2.72e+08,2.65e+08,2.51e+08,-7.1e+07,3.82e+08,3.41e+08,5.18e+08,3.05e+08,3.42e+08,3.13e+08,3.69e+08,-2.3e+07,3.32e+08,2.46e+08,3.56e+08,1.68e+08,NA,NA,NA,NA,7.1e+07,2.52e+08,-2.937e+09,1.81e+08,4.4e+07,-1.41e+08,2.508e+09,2.45e+08,NA,NA,NA,-5.12e+08,3841,"Surgical & Medical Instruments & Apparatus"
"4","0000038777","FRANKLIN RESOURCES, INC.","US-CA",NA,403312000,NA,120900000,110806000,297716000,NA,355603000,356685000,360495000,NA,501157000,503100000,503347000,NA,480800000,503200000,455300000,NA,516100000,572800000,552300000,NA,603800000,5.61e+08,578900000,NA,566400000,606500000,504200000,NA,447800000,360400000,446400000,NA,440200000,420700000,410600000,NA,-583300000,443200000,4.02e+08,NA,275900000,367500000,245900000,NA,350500000,79100000,290400000,NA,345300000,381800000,438400000,NA,453200000,349600000,256400000,NA,165600000,194200000,227500000,NA,251300000,124200000,1.74e+08,NA,163600000,6282,"Investment Advice"
"5","0000066740","3M COMPANY","US-MN",NA,9.45e+08,9.91e+08,NA,5.18e+08,7.83e+08,9.57e+08,9.35e+08,9.3e+08,1.121e+09,1.106e+09,9.28e+08,1.081e+09,1.16e+09,1.088e+09,9.54e+08,1.125e+09,1.167e+09,1.161e+09,9.91e+08,1.129e+09,1.197e+09,1.23e+09,1.103e+09,1.207e+09,1.267e+09,1.303e+09,1.179e+09,1.199e+09,1.3e+09,1.296e+09,1.038e+09,1.275e+09,1.291e+09,1.329e+09,1.155e+09,1.323e+09,1.583e+09,1.429e+09,5.23e+08,6.02e+08,1.857e+09,1.543e+09,1.347e+09,8.91e+08,1.127e+09,1.583e+09,9.69e+08,1.308e+09,1.306e+09,1.43e+09,1.389e+09,1.624e+09,1.524e+09,1.434e+09,NA,1.299e+09,7.8e+07,3.859e+09,NA,9.76e+08,-6.841e+09,-2.075e+09,9.45e+08,9.28e+08,1.145e+09,1.372e+09,7.28e+08,3841,"Surgical & Medical Instruments & Apparatus"
"6","0000073309","NUCOR CORPORATION","US-NC",NA,580754000,734590000,NA,-189645000,-133337000,-29538000,58907000,30964000,90992000,23495000,-11359000,159841000,299773000,181518000,137056000,145104000,112299000,110308000,136908000,NA,NA,NA,170494000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20331000,108881000,193415000,398843000,942432000,1506868000,2127743000,2250418000,2095623000,2561233000,1694748000,1255733000,1.137e+09,1.461e+09,1.142e+09,7.85e+08,NA,6.45e+08,2.5e+08,2.87e+08,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)"
"7","0000310764","STRYKER CORP","US-MI",NA,305800000,273800000,NA,281100000,291300000,2.29e+08,3.06e+08,3.22e+08,3.19e+08,3.37e+08,2.95e+08,3.08e+08,3.09e+08,3.27e+08,4.01e+08,3.5e+08,3.25e+08,3.53e+08,2.7e+08,3.04e+08,2.13e+08,1.03e+08,3.86e+08,7e+07,1.28e+08,5.7e+07,2.6e+08,2.24e+08,3.92e+08,3.01e+08,5.22e+08,4.02e+08,3.8e+08,3.55e+08,5.1e+08,4.44e+08,3.91e+08,4.34e+08,-2.49e+08,4.43e+08,4.52e+08,5.9e+08,2.068e+09,4.12e+08,4.8e+08,4.66e+08,7.25e+08,4.93e+08,-8.3e+07,6.21e+08,5.68e+08,3.02e+08,5.92e+08,4.38e+08,6.62e+08,3.23e+08,6.56e+08,8.16e+08,5.63e+08,5.92e+08,7.38e+08,6.92e+08,1.143e+09,7.88e+08,8.25e+08,8.34e+08,5.46e+08,3841,"Surgical & Medical Instruments & Apparatus"
"8","0000320193","Apple Inc.","US-CA",NA,1.072e+09,NA,2.255e+09,1.62e+09,1.828e+09,2.532e+09,3.378e+09,3.074e+09,3.253e+09,4.308e+09,6.004e+09,5.987e+09,7.308e+09,6.623e+09,1.3064e+10,1.1622e+10,8.824e+09,8.223e+09,1.3078e+10,9.547e+09,6.9e+09,7.512e+09,1.3072e+10,1.0223e+10,7.748e+09,8.467e+09,1.8024e+10,1.3569e+10,1.0677e+10,1.1124e+10,1.8361e+10,1.0516e+10,7.796e+09,9.014e+09,1.7891e+10,1.1029e+10,8.717e+09,1.0714e+10,2.0065e+10,1.3822e+10,1.1519e+10,1.4125e+10,1.9965e+10,1.1561e+10,1.0044e+10,1.3686e+10,2.2236e+10,1.1249e+10,1.1253e+10,1.2673e+10,2.8755e+10,2.363e+10,2.1744e+10,NA,3.463e+10,2.501e+10,1.9442e+10,NA,2.9998e+10,2.416e+10,1.9881e+10,NA,3.3916e+10,2.3636e+10,2.1448e+10,NA,3.633e+10,3571,"Electronic Computers"
"9","0000712515","ELECTRONIC ARTS INC.","US-CA",NA,-9.5e+07,-3.1e+08,-6.41e+08,NA,-2.34e+08,-3.91e+08,-8.2e+07,3e+07,9.6e+07,-2.01e+08,-3.22e+08,1.51e+08,2.21e+08,-3.4e+08,-2.05e+08,4e+08,2.01e+08,-3.81e+08,-4.5e+07,3.23e+08,2.22e+08,-2.73e+08,-3.08e+08,3.67e+08,3.35e+08,3e+06,1.42e+08,3.95e+08,4.42e+08,-1.4e+08,-4.5e+07,8.99e+08,4.4e+08,-3.8e+07,-1e+06,5.66e+08,6.44e+08,-2.2e+07,-1.86e+08,6.07e+08,2.93e+08,2.55e+08,2.62e+08,2.09e+08,1.421e+09,8.54e+08,3.46e+08,4.18e+08,3.65e+08,1.85e+08,2.11e+08,NA,2.04e+08,2.94e+08,6.6e+07,NA,3.11e+08,2.99e+08,2.04e+08,NA,4.02e+08,3.99e+08,2.9e+08,NA,2.8e+08,2.94e+08,2.93e+08,7372,"Services-Prepackaged Software"
"10","0000717423","MURPHY OIL CORPORATION","US-TX",NA,619204000,584422000,NA,171100000,158800000,188900000,318800000,148900000,272300000,202800000,174100000,268900000,311600000,406100000,-113900000,290100000,295400000,226700000,158700000,360600000,402700000,284800000,75400000,155300000,129400000,245700000,375200000,-14500000,-73800000,-1595400000,-587100000,-198800000,2900000,-16200000,-63900000,58500000,-17600000,-65900000,-286800000,168300000,45500000,93900000,103400000,40200000,92300000,1.089e+09,-71700000,-416100000,-317200000,-243500000,-171900000,-287400000,-63100000,108400000,168400000,-113300000,350600000,528300000,199400000,191600000,98300000,255300000,116400000,90002000,127739000,139094000,50300000,1311,"Crude Petroleum & Natural Gas"
"11","0000827054","MICROCHIP TECHNOLOGY INCORPORATED","US-AZ",NA,75547000,75720000,72356000,NA,27368000,44485000,69403000,NA,89566000,103080000,100776000,125528000,99293000,79287000,77489000,80636000,78710000,-21184000,10173000,59690000,NA,NA,NA,111495000,NA,NA,NA,NA,NA,NA,NA,NA,-113363000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123600000,73600000,36200000,NA,252800000,2.42e+08,352800000,NA,507200000,546200000,580300000,NA,666400000,666600000,419200000,NA,129300000,78400000,-53600000,3674,"Semiconductors & Related Devices"
"12","0000829224","Starbucks Corporation","US-WA",NA,-6700000,NA,64300000,2.5e+07,151500000,NA,241500000,217300000,207900000,NA,346600000,261600000,279100000,NA,382100000,309900000,333100000,NA,432200000,390400000,417800000,-1.232e+09,540700000,4.27e+08,512600000,587900000,983100000,494900000,626700000,652500000,687600000,575100000,754100000,8.01e+08,751800000,652800000,691600000,788500000,2250200000,660100000,852500000,755800000,760600000,663200000,1372800000,802900000,885700000,328400000,-678400000,392600000,622200000,659400000,1153400000,NA,815900000,674500000,912900000,NA,855200000,908300000,1141700000,NA,1024400000,772400000,1054800000,NA,780800000,5810,"Retail-Eating & Drinking Places"
"13","0000833444","JOHNSON CONTROLS INTERNATIONAL PLC","IE-",NA,4.76e+08,NA,2.77e+08,-2.567e+09,2.87e+08,NA,3.02e+08,3.1e+08,2.54e+08,2.66e+08,6.59e+08,3.15e+08,3.59e+08,4e+08,3.22e+08,3.23e+08,2.46e+08,NA,1.63e+08,7.2e+07,1.35e+08,NA,2.7e+08,2.07e+08,1.45e+09,NA,1.62e+08,1.67e+08,1.56e+08,NA,4.5e+08,-5.3e+08,3.83e+08,NA,3.29e+08,-1.48e+08,5.55e+08,NA,2.3e+08,4.38e+08,7.23e+08,NA,3.55e+08,5.15e+08,4.192e+09,NA,1.59e+08,2.13e+08,-1.82e+08,NA,4.51e+08,3.43e+08,5.74e+08,NA,3.81e+08,1.1e+07,3.79e+08,NA,1.18e+08,1.33e+08,1.049e+09,NA,3.74e+08,-2.77e+08,9.75e+08,NA,4.19e+08,3585,"Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip"
"14","0000882835","ROPER TECHNOLOGIES, INC.","US-FL",NA,74523000,74029000,NA,51559000,59588000,56410000,71924000,59725000,71281000,84263000,107311000,88979000,106311000,110281000,121676000,108309000,114813000,116708000,143530000,124914000,111353000,136323000,165703000,147226000,157361000,155510000,185936000,155773000,171280000,160417000,208597000,151416000,158069000,167079000,182081000,158100000,179500000,190300000,443900000,211300000,228400000,247600000,257100000,369600000,249700000,277500000,871100000,240300000,219200000,234400000,255800000,2.89e+08,286300000,289500000,287800000,2020500000,268800000,3.27e+08,1928400000,283100000,364900000,347200000,3.89e+08,3.82e+08,337100000,367900000,462300000,3823,"Industrial Instruments For Measurement, Display, and Control"
"15","0001136893","Fidelity National Information Services, Inc.","US-FL",NA,71900000,43600000,NA,3.3e+07,59200000,67600000,NA,93600000,89900000,110400000,NA,92800000,123500000,136300000,NA,87100000,150600000,86800000,NA,144100000,104800000,172300000,NA,154500000,178800000,150500000,NA,1.11e+08,2.4e+08,1.75e+08,NA,5.5e+07,1.21e+08,1.85e+08,NA,1.29e+08,1.39e+08,5.9e+07,NA,1.82e+08,2.12e+08,1.54e+08,NA,1.48e+08,1.54e+08,1.54e+08,NA,1.5e+07,1.9e+07,2e+07,NA,-3.73e+08,3.41e+08,1.58e+08,NA,1.2e+08,2.77e+08,2.49e+08,-1.7365e+10,1.52e+08,-6.594e+09,-4.61e+08,2.48e+08,7.06e+08,2.38e+08,2.24e+08,2.81e+08,7389,"Services-Business Services, NEC"
"16","0001350156","PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.","CA-AB",NA,-23998,NA,NA,NA,NA,NA,NA,NA,NA,-206175,-253400,-301574,NA,-160564,-78338,-147832,NA,-69356,-57411,-45009,NA,-69677,-35321,-35765,NA,-43195,-41263,-40017,NA,-40041,-49108,-84192,NA,-50693,-69253,-67714,NA,-50114,-42725,-50073,NA,-55344,-48113,-47926,NA,-49143,-37995,-45115,NA,-34855,-47399,-41226,NA,-41532,-43655,-46796,NA,-37347,-45092,-36488,NA,-40919,-45109,-8810,NA,NA,-13666,5700,"Retail-Home Furniture, Furnishings & Equipment Stores"
"17","0001390777","THE BANK OF NEW YORK MELLON CORPORATION","US-NY",NA,3.09e+08,3.03e+08,NA,3.22e+08,1.76e+08,-2.458e+09,NA,5.59e+08,6.58e+08,6.22e+08,NA,NA,NA,6.51e+08,NA,6.19e+08,4.66e+08,7.25e+08,6.35e+08,-2.53e+08,NA,NA,5.39e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8e+08,9.5e+08,9.37e+08,7.5e+08,9.27e+08,1.022e+09,9.47e+08,8.63e+08,7.73e+08,8.69e+08,3.88e+08,5.43e+08,9.82e+08,1.072e+09,1.04e+09,2.08e+08,1.025e+09,1.168e+09,1.182e+09,1.155e+09,6022,"State Commercial Banks"
"18","0001403161","VISA INC.","US-CA",NA,4.22e+08,NA,5.74e+08,5.36e+08,7.29e+08,NA,7.63e+08,7.13e+08,7.16e+08,7.74e+08,8.84e+08,8.81e+08,1.005e+09,8.8e+08,1.029e+09,1.292e+09,-1.839e+09,NA,1.293e+09,1.27e+09,1.225e+09,NA,1.407e+09,1.598e+09,1.36e+09,NA,1.569e+09,1.55e+09,1.697e+09,NA,1.941e+09,1.707e+09,4.12e+08,NA,2.07e+09,4.3e+08,2.059e+09,NA,2.522e+09,2.605e+09,2.329e+09,NA,2.977e+09,2.977e+09,3.101e+09,NA,3.272e+09,3.084e+09,2.373e+09,NA,3.126e+09,3.026e+09,2.575e+09,NA,3.959e+09,3.647e+09,3.411e+09,NA,4.179e+09,4.257e+09,4.156e+09,NA,4.89e+09,4.663e+09,4.872e+09,NA,5.119e+09,7389,"Services-Business Services, NEC"
"19","0000008858","AVNET, INC.","US-AZ",NA,NA,90339000,-1204969000,15796000,NA,50900000,103900000,114500000,141100000,138200000,1.41e+08,1.51e+08,238800000,1.39e+08,1.47e+08,147600000,133400000,100305000,137481000,86196000,126100000,120624000,124864000,113851000,NA,127946000,163706000,NA,NA,NA,NA,NA,NA,68843000,103218000,271771000,NA,58303000,46724000,-320066000,NA,83724000,36401000,88048000,NA,41752000,3668000,-128661000,NA,-18889000,19163000,107484000,NA,111318000,150821000,183417000,NA,184261000,243886000,187426000,NA,209268000,117931000,88834000,NA,58956000,87253000,5065,"Wholesale-Electronic Parts & Equipment, NEC"
