year,cik,entityName,loc,sicDescription,pred_cluster,yearly_gross
2021,825324,Good Times Restaurants Inc.,US-CO,Retail-Eating  Places,6,0.28695
2024,1177609,"Five Below, Inc.",US-PA,Retail-Variety Stores,6,2.53611
2021,926282,"ADTRAN Holdings, Inc.",US-AL,Telephone & Telegraph Apparatus,7,-0.14872
2023,1136893,"Fidelity National Information Services, Inc.",US-FL,"Services-Business Services, NEC",9,-66.54999999999991
2022,39020,"FREQUENCY ELECTRONICS, INC.",US-NY,Instruments For Meas & Testing of  Electricity & Elec Signals,7,-0.06482
2023,1020859,"UNITED NATURAL FOODS, INC.",US-RI,"Wholesale-Groceries, General Line",6,-0.39999999999999925
2022,783412,DAILY JOURNAL CORPORATION,US-CA,Newspapers: Publishing or  Publishing & Printing,6,-0.29710000000000014
2023,1434524,CLEARSIGN TECHNOLOGIES CORPORATION,US-OK,"Industrial Instruments For Measurement, Display, and Control",1,-0.05194
2024,1383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",US-NY,"Services-Business Services, NEC",9,6.495999999999979
2024,1387467,Alpha and Omega Semiconductor Limited,BM-,Semiconductors & Related Devices,7,-0.3153399999999999
2021,765207,"FIRST BANCORP, INC",US-ME,National Commercial Banks,4,0.36269
2023,1066194,eGain Corporation,US-CA,Services-Prepackaged Software,5,0.0701
2021,73290,"BIOMERICA, INC.",US-CA,In Vitro & In Vivo Diagnostic Substances,2,-0.06916937
2022,105132,WD-40 COMPANY,US-CA,Miscellaneous Chemical Products,2,0.62465
2022,1169561,"Commvault Systems, Inc",US-NJ,Services-Prepackaged Software,5,0.3574
2024,1397016,"OPTEX SYSTEMS HOLDINGS, INC.",US-TX,Optical Instruments & Lenses,1,0.04428
2021,33002,"ENNIS, INC.",US-TX,Manifold Business Forms,9,0.3069000000000001
2024,1521951,"FIRST BUSINESS FINANCIAL SERVICES, INC.",US-WI,State Commercial Banks,4,0.4424500000000001
2022,1544190,"SHEPHERD’S FINANCE, LLC",US-FL,Short-Term Business Credit Institutions,8,0.0176
2023,1437517,"CYBERLOQ TECHNOLOGIES, INC.",US-FL,Services-Prepackaged Software,5,-0.010265300000000002
2024,1438133,"Tandem Diabetes Care, Inc.",US-CA,Surgical & Medical Instruments & Apparatus,1,-0.96025
2022,108312,"WOODWARD, INC.",US-CO,Electrical Industrial Apparatus,1,1.564040000000001
2024,779544,ARK RESTAURANTS CORP.,US-NY,Retail-Eating  Places,6,0.02995
2023,107140,"JOHN WILEY & SONS, INC.",US-NJ,Books: Publishing or  Publishing & Printing,6,-2.970529999999998
2021,913778,BF GARDEN TAX CREDIT FUND IV L.P.,US-MA,Operators of  Apartment Buildings,9,0.01852165
2022,926282,"ADTRAN Holdings, Inc.",US-AL,Telephone & Telegraph Apparatus,7,-0.8285199999999999
2024,1040130,"PETMED EXPRESS, INC.",US-FL,Retail-Drug Stores and Proprietary Stores,6,0.033460000000000004
2021,1327567,"PALO ALTO NETWORKS, INC",US-CA,"Computer Peripheral Equipment, NEC",7,-4.873000000000001
2021,1295947,PRESTIGE CONSUMER HEALTHCARE INC.,US-NY,Pharmaceutical Preparations,2,1.94168
2024,1040470,AEHR TEST SYSTEMS,US-CA,Instruments For Meas & Testing of  Electricity & Elec Signals,7,-0.033100000000000004
2022,40570,GEE GROUP INC.,US-FL,Services-Employment Agencies,9,0.07007000000000001
2021,920427,"Unity Bancorp, Inc.",US-NJ,State Commercial Banks,4,0.3611899999999999
2022,1110803,"Illumina, Inc.",US-CA,Laboratory Analytical Instruments,1,-44.03999999999989
2024,1627223,The Chemours Company,US-DE,Chemicals & Allied Products,2,0.7399999999999991
2024,1634117,"BARNES & NOBLE EDUCATION, INC.",US-NJ,Retail-Miscellaneous Shopping Goods Stores,6,-0.6999600000000001
2023,862668,Escalon Medical Corp.,US-PA,Electromedical & Electrotherapeutic Apparatus,1,0.01072952
2023,1224608,"CNO Financial Group, Inc.",US-IN,Accident & Health Insurance,9,2.765000000000002
2024,1157647,"Western New England Bancorp, Inc.",US-MA,"Savings Institution, Federally Chartered",8,0.11666
2023,1403475,Bank of Marin Bancorp,US-CA,State Commercial Banks,4,0.19896
2022,935703,"DOLLAR TREE, INC.",US-VA,Retail-Variety Stores,6,14.300999999999991
2023,70502,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORPORATION,US-VA,Miscellaneous Business Credit Institution,8,7.02091999999999
2021,1127475,"DIGITAL BRAND MEDIA & MARKETING GROUP, INC.",US-NY,"Services-Business Services, NEC",9,-0.006154809999999998
2024,1525306,First America Resources Corporation,US-IL,"Wholesale-Electronic Parts & Equipment, NEC",1,0.0009537199999999999
2024,108385,WORLD ACCEPTANCE CORPORATION,US-SC,Personal Credit Institutions,8,1.18563
2024,785786,PLEXUS CORP.,US-WI,Printed Circuit Boards,7,1.03786
